Standard Date,Date,Time ON (hours),Time ON (%)
20200624,24/06/2020,2.47,10.27
20200625,25/06/2020,0.00,0.00
20200626,26/06/2020,0.00,0.00
20200627,27/06/2020,1.34,5.56
20200628,28/06/2020,4.96,20.67
20200629,29/06/2020,13.26,55.25
20200630,30/06/2020,14.22,59.24
20200701,01/07/2020,9.25,38.53
20200702,02/07/2020,8.87,36.96
20200703,03/07/2020,8.96,37.33
20200704,04/07/2020,6.97,29.04
20200705,05/07/2020,6.28,26.16
20200706,06/07/2020,9.30,38.77
20200707,07/07/2020,10.53,43.89
20200708,08/07/2020,11.96,49.82
20200709,09/07/2020,8.59,35.79
